iter	Passed	Remaining
533	8340	7278
534	8356	7263
535	8372	7247
536	8387	7231
537	8400	7213
538	8413	7196
539	8428	7179
540	8447	7166
541	8463	7151
542	8477	7135
543	8493	7119
544	8508	7103
545	8523	7087
546	8539	7072
547	8554	7055
548	8568	7038
549	8584	7024
550	8600	7008
551	8614	6991
552	8628	6974
553	8641	6956
554	8654	6938
555	8666	6921
556	8680	6904
557	8695	6887
558	8708	6869
559	8722	6853
560	8735	6836
561	8750	6819
562	8767	6805
563	8783	6790
564	8800	6775
565	8817	6760
566	8834	6746
567	8852	6733
568	8869	6718
569	8887	6704
570	8903	6689
571	8918	6673
572	8934	6658
573	8949	6642
574	8963	6625
575	8977	6608
576	8993	6593
577	9010	6578
578	9026	6563
579	9041	6547
580	9056	6531
581	9071	6515
582	9084	6497
583	9099	6481
584	9116	6467
585	9129	6449
586	9142	6432
587	9157	6416
588	9172	6400
589	9186	6383
590	9202	6368
591	9217	6352
592	9232	6336
593	9254	6325
594	9269	6309
595	9283	6292
596	9297	6276
597	9313	6261
598	9328	6245
599	9344	6229
600	9359	6213
601	9374	6197
602	9387	6180
603	9401	6164
604	9415	6147
605	9430	6131
606	9445	6115
607	9461	6100
608	9478	6085
609	9493	6069
610	9508	6053
611	9523	6037
612	9538	6021
613	9553	6006
614	9567	5989
615	9581	5972
616	9595	5956
617	9609	5940
618	9623	5923
619	9639	5908
620	9655	5892
621	9673	5878
622	9688	5862
623	9703	5847
624	9720	5832
625	9737	5817
626	9755	5803
627	9772	5788
628	9790	5774
629	9809	5761
630	9824	5745
631	9840	5729
632	9858	5715
633	9873	5700
634	9888	5684
635	9902	5667
636	9915	5650
637	9928	5633
638	9942	5617
639	9958	5601
640	9971	5584
641	9986	5568
642	10002	5553
643	10016	5536
644	10031	5521
645	10044	5504
646	10058	5488
647	10077	5474
648	10092	5458
649	10107	5442
650	10122	5426
651	10136	5410
652	10151	5394
653	10166	5378
654	10183	5363
655	10198	5348
656	10212	5331
657	10228	5316
658	10243	5300
659	10257	5284
660	10272	5268
661	10288	5253
662	10303	5237
663	10317	5221
664	10330	5204
665	10346	5188
666	10362	5173
667	10378	5158
668	10393	5142
669	10406	5125
670	10421	5109
671	10436	5094
672	10452	5078
673	10470	5064
674	10485	5048
675	10499	5032
676	10514	5016
677	10529	5000
678	10544	4984
679	10560	4969
680	10573	4953
681	10586	4936
682	10600	4920
683	10618	4905
684	10633	4889
685	10648	4874
686	10660	4856
687	10672	4840
688	10689	4825
689	10703	4808
690	10719	4793
691	10736	4778
692	10752	4763
693	10769	4748
694	10785	4733
695	10801	4717
696	10816	4702
697	10833	4687
698	10848	4671
699	10864	4656
700	10882	4641
701	10896	4625
702	10912	4610
703	10926	4594
704	10940	4577
705	10955	4562
706	10969	4546
707	10982	4529
708	10996	4513
709	11011	4497
710	11028	4482
711	11042	4466
712	11055	4450
713	11068	4433
714	11083	4418
715	11098	4402
716	11113	4386
717	11127	4370
718	11141	4354
719	11154	4337
720	11168	4321
721	11184	4306
722	11198	4290
723	11212	4274
724	11227	4258
725	11242	4243
726	11257	4227
727	11273	4212
728	11287	4196
729	11299	4179
730	11314	4163
731	11331	4148
732	11346	4133
733	11362	4117
734	11377	4102
735	11393	4086
736	11408	4071
737	11427	4056
738	11443	4041
739	11458	4025
740	11473	4010
741	11489	3995
742	11505	3979
743	11521	3964
744	11536	3948
745	11552	3933
746	11566	3917
747	11580	3901
748	11596	3886
749	11609	3869
750	11622	3853
751	11637	3837
752	11651	3822
753	11666	3806
754	11685	3792
755	11702	3777
756	11719	3761
757	11736	3746
758	11752	3731
759	11771	3717
760	11789	3702
761	11810	3688
762	11827	3673
763	11843	3658
764	11858	3642
765	11872	3626
766	11888	3611
767	11903	3595
768	11919	3580
769	11935	3565
770	11950	3549
771	11966	3534
772	11981	3518
773	12001	3504
774	12017	3488
775	12033	3473
776	12046	3457
777	12061	3441
778	12076	3426
779	12091	3410
780	12105	3394
781	12120	3378
782	12135	3363
783	12150	3347
784	12163	3331
785	12178	3315
786	12193	3300
787	12208	3284
788	12225	3269
789	12240	3253
790	12253	3237
791	12267	3221
792	12280	3205
793	12296	3190
794	12312	3174
795	12326	3159
796	12341	3143
797	12358	3128
798	12373	3112
799	12388	3097
800	12404	3081
801	12420	3066
802	12435	3050
803	12449	3035
804	12464	3019
805	12479	3003
806	12496	2988
807	12510	2972
808	12524	2956
809	12537	2940
810	12550	2924
811	12565	2909
812	12581	2893
813	12596	2878
814	12611	2862
815	12625	2846
816	12641	2831
817	12655	2815
818	12671	2800
819	12687	2784
820	12702	2769
821	12717	2753
822	12733	2738
823	12750	2723
824	12767	2708
825	12785	2693
826	12801	2677
827	12816	2662
828	12833	2647
829	12846	2631
830	12859	2615
831	12872	2599
832	12886	2583
833	12901	2567
834	12916	2552
835	12930	2536
836	12943	2520
837	12955	2504
838	12968	2488
839	12982	2472
840	12997	2457
841	13012	2441
842	13026	2426
843	13043	2410
844	13055	2394
845	13068	2378
846	13082	2363
847	13096	2347
848	13111	2331
849	13126	2316
850	13140	2300
851	13155	2285
852	13169	2269
853	13186	2254
854	13201	2238
855	13216	2223
856	13231	2207
857	13245	2192
858	13259	2176
859	13273	2160
860	13287	2145
861	13302	2129
862	13318	2114
863	13333	2098
864	13346	2083
865	13363	2067
866	13378	2052
867	13393	2036
868	13408	2021
869	13425	2006
870	13444	1991
871	13461	1975
872	13477	1960
873	13492	1945
874	13506	1929
875	13522	1914
876	13537	1898
877	13552	1883
878	13567	1867
879	13582	1852
880	13597	1836
881	13612	1821
882	13626	1805
883	13642	1790
884	13660	1775
885	13677	1759
886	13697	1744
887	13714	1729
888	13731	1714
889	13749	1699
890	13766	1684
891	13782	1668
892	13797	1653
893	13812	1637
894	13825	1621
895	13837	1606
896	13853	1590
897	13867	1575
898	13881	1559
899	13894	1543
900	13909	1528
901	13925	1513
902	13940	1497
903	13953	1481
904	13970	1466
905	13983	1450
906	13997	1435
907	14012	1419
908	14026	1404
909	14039	1388
910	14052	1372
911	14068	1357
912	14081	1341
913	14096	1326
914	14114	1311
915	14129	1295
916	14147	1280
917	14165	1265
918	14180	1249
919	14193	1234
920	14206	1218
921	14220	1203
922	14234	1187
923	14252	1172
924	14266	1156
925	14279	1141
926	14292	1125
927	14306	1109
928	14321	1094
929	14336	1079
930	14352	1063
931	14367	1048
932	14382	1032
933	14397	1017
934	14412	1001
935	14424	986
936	14439	970
937	14454	955
938	14469	939
939	14481	924
940	14497	908
941	14515	893
942	14529	878
943	14544	862
944	14559	847
945	14575	831
946	14590	816
947	14605	801
948	14619	785
949	14636	770
950	14656	755
951	14672	739
952	14688	724
953	14703	708
954	14719	693
955	14738	678
956	14755	662
957	14772	647
958	14790	632
959	14804	616
960	14818	601
961	14831	585
962	14844	570
963	14858	554
964	14870	539
965	14886	523
966	14900	508
967	14915	493
968	14929	477
969	14942	462
970	14956	446
971	14971	431
972	14987	415
973	15002	400
974	15017	385
975	15033	369
976	15053	354
977	15069	338
978	15084	323
979	15097	308
980	15110	292
981	15122	277
982	15135	261
983	15150	246
984	15164	230
985	15180	215
986	15194	200
987	15208	184
988	15222	169
989	15237	153
990	15250	138
991	15264	123
992	15281	107
993	15295	92
994	15311	76
995	15325	61
996	15339	46
997	15353	30
998	15368	15
999	15384	0
